Name, Overall Place, Gender Place, Division Place, Finish Time, Bib Number, City, State 
Dan G Berntson, 364, 322, 2, 03:19:35.8, 1639, Edina, MN USA 
Joseph E Stuber, 1521, 1338, 66, 04:26:54.8, 4581, Lakeville, MN USA 
Nicholas J Schneider, 2273, 1934, 229, 05:02:28.0, 4465, Portage, WI USA 
Jeanne M Grist, 1774, 243, 13, 04:38:52.8, 4405, Madison, WI USA 
Ryan M Vowinkel, 1956, 1681, 157, 04:47:55.8, 6266, Sheboygan Falls, WI USA 
Patrick J Meyer, 1305, 1157, 55, 04:15:56.4, 3026, Wausau, WI USA 
Gregory J Engel, 898, 801, 63, 03:55:55.4, 2368, Plymouth, MN USA 
Todd M Williams, 421, 369, 35, 03:24:44.4, 1077, Plover, WI USA 
Jason S Adams, 153, 142, 17, 02:55:30.8, 72, Bend, OR USA 
Adrianne R Johnson, 2785, 446, 45, 05:32:50.5, 5312, St Paul, MN USA 
Bjorn T Hoffman, 1508, 1327, 163, 04:25:54.8, 9224, St Paul, MN USA 
Christopher D Krueger, 1134, 1003, 129, 04:07:24.6, 2591, Milwaukee, WI USA 
Melanie K Cyra, 1631, 210, 39, 04:31:44.5, 4492, Minneapolis, MN USA 
Emily A Daniels, 3597, 662, 112, 07:05:12.9, 7391, Milwaukee, WI USA 
Katie M Houg, 1960, 277, 49, 04:48:12.7, 4277, Bemidji, MN USA 
Tim W Holmstrom, 916, 818, 68, 03:56:30.4, 2544, Excelsior, MN USA 
Tom P Camp, 163, 150, 7, 02:57:27.4, 1580, Minneapolis, MN USA 
Michael T Clabaugh, 1202, 1065, 140, 04:11:01.2, 2268, Duluth, MN USA 
David L Dingmann, 1990, 1710, 174, 04:49:15.4, 1360, St Paul, MN USA 
Daniel R Bohnhorst, 2755, 2316, 270, 05:30:38.2, 9308, Santa Fe, NM USA 
Wesley Gabel, 235, 214, 48, 03:06:40.7, 1217, Minocqua, WI USA 
Joseph L Jenkins, 2347, 1990, 120, 05:06:19.4, 3015, Cable, WI USA 
Paul A Buckley, 2165, 1850, 221, 04:57:01.4, 3284, St Louis Park, MN USA 
Matt Parliament, 1413, 1252, 134, 04:21:03.7, 3532, Edmonton, AB Can 
Alexander T Pendleton, 2327, 1976, 298, 05:05:19.3, 5670, Shorewood, WI USA 
Robb M Johnson, 477, 420, 45, 03:28:53.5, 1488, West Bend, WI USA 
Jeff R Doom, 1596, 1394, 169, 04:29:47.8, 4658, Edina, MN USA 
Peter M Crowe, 1784, 1539, 185, 04:39:16.0, 9262, Appleton, WI USA 
William Q Vu, 2366, 2008, 195, 05:07:39.9, 4238, Ottawa, ON Can 
